v_x,v_y,omega,delta
1.544550538063049316e+00,1.393700540065765381e-01,-5.217239856719970703e-01,1.837534904479980469e-01
1.548803329467773438e+00,1.399664133787155151e-01,-5.904071331024169922e-01,1.832314133644104004e-01
1.547761797904968262e+00,1.416161358356475830e-01,-6.512377262115478516e-01,1.842619627714157104e-01
1.546674132347106934e+00,1.427490562200546265e-01,-6.853669285774230957e-01,1.855805218219757080e-01
1.541925430297851562e+00,1.422129571437835693e-01,-5.069556236267089844e-01,1.869916468858718872e-01
1.548600196838378906e+00,1.422223746776580811e-01,-4.986976087093353271e-01,1.866422146558761597e-01
1.546967148780822754e+00,1.414888650178909302e-01,-5.415218472480773926e-01,1.875017136335372925e-01
1.543292164802551270e+00,1.420055627822875977e-01,-4.248019158840179443e-01,1.886164993047714233e-01
1.543354988098144531e+00,1.432571113109588623e-01,-5.229572653770446777e-01,1.895362138748168945e-01
1.540169119834899902e+00,1.447213143110275269e-01,-6.274010539054870605e-01,1.891320794820785522e-01
1.539631605148315430e+00,1.435008496046066284e-01,-3.976616263389587402e-01,1.905269026756286621e-01
1.543015599250793457e+00,1.431316435337066650e-01,-3.361400961875915527e-01,1.912777572870254517e-01
1.547715902328491211e+00,1.403499543666839600e-01,-2.542597949504852295e-01,1.904341578483581543e-01
1.543646812438964844e+00,1.456077247858047485e-01,-3.495345711708068848e-01,1.967950761318206787e-01
1.541196346282958984e+00,1.456875652074813843e-01,-3.199791312217712402e-01,1.982225924730300903e-01
1.540445208549499512e+00,1.468255370855331421e-01,-1.873355209827423096e-01,1.990430951118469238e-01
1.541660547256469727e+00,1.442651152610778809e-01,-8.923031389713287354e-02,1.981784999370574951e-01
1.545557260513305664e+00,1.430548429489135742e-01,-4.377250745892524719e-02,1.984349191188812256e-01
1.546082854270935059e+00,1.457006037235260010e-01,5.603589490056037903e-02,1.984289586544036865e-01
1.549038171768188477e+00,1.433272212743759155e-01,1.071855053305625916e-01,1.983764469623565674e-01
1.550107836723327637e+00,1.464143693447113037e-01,3.639811649918556213e-02,1.965797692537307739e-01
1.545392990112304688e+00,1.420622617006301880e-01,2.864511609077453613e-01,1.965201497077941895e-01
1.554705739021301270e+00,1.390203386545181274e-01,2.509279251098632812e-01,1.959779560565948486e-01
1.556477785110473633e+00,1.325527727603912354e-01,3.496991395950317383e-01,1.936212331056594849e-01
1.556373119354248047e+00,1.361406296491622925e-01,4.133689701557159424e-01,1.923352926969528198e-01
1.555953145027160645e+00,1.356379985809326172e-01,5.310453176498413086e-01,1.911023855209350586e-01
1.556984186172485352e+00,1.390680968761444092e-01,5.860838890075683594e-01,1.895537227392196655e-01
1.559049367904663086e+00,1.372184306383132935e-01,6.636536121368408203e-01,1.878690570592880249e-01
1.554890632629394531e+00,1.374944597482681274e-01,6.069293022155761719e-01,1.842927485704421997e-01
1.553190112113952637e+00,1.354050636291503906e-01,6.280215978622436523e-01,1.825854480266571045e-01
1.552928447723388672e+00,1.324042081832885742e-01,7.286018133163452148e-01,1.809026598930358887e-01
1.553866147994995117e+00,1.321763992309570312e-01,8.861327171325683594e-01,1.788365542888641357e-01
1.529425859451293945e+00,1.311741769313812256e-01,9.543898105621337891e-01,1.761528849601745605e-01
1.549112439155578613e+00,1.469705104827880859e-01,9.322277903556823730e-01,1.963157504796981812e-01
1.550801992416381836e+00,1.473750919103622437e-01,1.052442193031311035e+00,1.960324496030807495e-01
1.543078303337097168e+00,1.460926532745361328e-01,9.495732784271240234e-01,1.940118074417114258e-01
1.553648829460144043e+00,1.442209929227828979e-01,1.034855246543884277e+00,1.921225339174270630e-01
1.546592473983764648e+00,1.420711576938629150e-01,1.254949331283569336e+00,1.880978792905807495e-01
1.530035972595214844e+00,1.353933066129684448e-01,1.147417068481445312e+00,1.851216256618499756e-01
